index,author,date,post,sentiment
0,OnnMacMahal,Aug 30 2022,trait,neutral
0,OnnMacMahal,Aug 30 2022,trees,neutral
0,OnnMacMahal,Aug 30 2022,means,neutral
0,OnnMacMahal,Aug 30 2022,wont,neutral
0,OnnMacMahal,Aug 30 2022,possible,neutral
0,OnnMacMahal,Aug 30 2022,single,neutral
0,OnnMacMahal,Aug 30 2022,minstrel,neutral
0,OnnMacMahal,Aug 30 2022,maintain,neutral
0,OnnMacMahal,Aug 30 2022,100,neutral
0,OnnMacMahal,Aug 30 2022,uptime,neutral
0,OnnMacMahal,Aug 30 2022,anthems,neutral
0,OnnMacMahal,Aug 30 2022,group,neutral
0,OnnMacMahal,Aug 30 2022,Youll,neutral
0,OnnMacMahal,Aug 30 2022,bit,neutral
0,OnnMacMahal,Aug 30 2022,choosier,neutral
0,OnnMacMahal,Aug 30 2022,anthems,neutral
0,OnnMacMahal,Aug 30 2022,also,neutral
0,OnnMacMahal,Aug 30 2022,wont,neutral
0,OnnMacMahal,Aug 30 2022,waiting,neutral
0,OnnMacMahal,Aug 30 2022,anthem,neutral
0,OnnMacMahal,Aug 30 2022,buffs,neutral
0,OnnMacMahal,Aug 30 2022,expire,neutral
0,OnnMacMahal,Aug 30 2022,pause,neutral
0,OnnMacMahal,Aug 30 2022,youre,neutral
0,OnnMacMahal,Aug 30 2022,click,neutral
0,OnnMacMahal,Aug 30 2022,anthems,neutral
0,OnnMacMahal,Aug 30 2022,one,neutral
0,OnnMacMahal,Aug 30 2022,one,neutral
0,OnnMacMahal,Aug 30 2022,refresh,neutral
0,OnnMacMahal,Aug 30 2022,buffs.Anthem,neutral
0,OnnMacMahal,Aug 30 2022,buffs,neutral
0,OnnMacMahal,Aug 30 2022,also,neutral
0,OnnMacMahal,Aug 30 2022,greater,neutral
0,OnnMacMahal,Aug 30 2022,parity,neutral
0,OnnMacMahal,Aug 30 2022,one,neutral
0,OnnMacMahal,Aug 30 2022,another,neutral
0,OnnMacMahal,Aug 30 2022,always,neutral
0,OnnMacMahal,Aug 30 2022,want,neutral
0,OnnMacMahal,Aug 30 2022,anthem,neutral
0,OnnMacMahal,Aug 30 2022,buffs,neutral
0,OnnMacMahal,Aug 30 2022,without,neutral
0,OnnMacMahal,Aug 30 2022,feeling,neutral
0,OnnMacMahal,Aug 30 2022,like,neutral
0,OnnMacMahal,Aug 30 2022,particular,neutral
